actor_name,event_time,new_bid,new_budget,new_value,object_id,old_bid,old_budget,old_value
黃彥齊,2018-09-04 06:44:24,5,,,23843094453660316,,,
黃彥齊,2018-09-04 06:44:24,5,,,23843094453520316,,,
黃彥齊,2018-09-04 06:44:24,5,,,23843094453540316,,,
黃彥齊,2018-09-04 05:21:16,8,,,23843094362240316,,,
黃彥齊,2018-09-04 05:17:52,8,,,23843094127650316,4,,
黃彥齊,2018-09-04 04:06:05,8,,,23843094301530316,4,,
黃彥齊,2018-09-04 03:46:15,9,,,23843094303710316,,,
黃彥齊,2018-09-04 03:43:11,4,,,23843094301530316,,,
黃彥齊,2018-09-04 01:58:49,4,,,23843094127650316,,,
黃彥齊,2018-09-03 12:25:06,4,,,23843093592590316,,,
黃彥齊,2018-09-03 12:21:01,8,,,23843093608300316,,,
黃彥齊,2018-09-03 12:20:27,8,,,23843093517140316,4,,
黃彥齊,2018-09-03 10:33:36,4,,,23843093517140316,,,
黃彥齊,2018-09-03 10:22:44,,8000,,23843091650060316,,5000,
黃彥齊,2018-09-03 09:48:33,,,Inactive,23843049037430316,,,Active
黃彥齊,2018-09-03 09:46:23,,1000,,23843093258610316,,6500,
黃彥齊,2018-09-03 07:35:38,,10000,,23843091649980316,,5000,
黃彥齊,2018-09-03 07:20:11,10,,,23843093258610316,,,
黃彥齊,2018-09-01 12:34:06,,10000,,23843091650010316,,5000,
黃彥齊,2018-09-01 12:34:45,4,,,23843091759580316,,,
黃彥齊,2018-09-01 12:34:45,4,,,23843091759590316,,,
黃彥齊,2018-09-01 12:34:45,4,,,23843091759560316,,,
黃彥齊,2018-09-01 12:34:45,4,,,23843091759540316,,,
黃彥齊,2018-09-01 12:33:40,,,Inactive,23843091704630316,,,Active
黃彥齊,2018-09-01 11:30:48,5,,,23843091704750316,,,
黃彥齊,2018-09-01 11:30:48,5,,,23843091704810316,,,
黃彥齊,2018-09-01 11:30:48,5,,,23843091704760316,,,
黃彥齊,2018-09-01 11:30:48,5,,,23843091704770316,,,
黃彥齊,2018-09-01 11:30:48,5,,,23843091704790316,,,
黃彥齊,2018-09-01 11:30:48,5,,,23843091704830316,,,
黃彥齊,2018-09-01 11:19:24,,,,23843091704750316,,,
黃彥齊,2018-09-01 11:19:24,,,,23843091704860316,,,
黃彥齊,2018-09-01 11:19:24,,,,23843091704850316,,,
黃彥齊,2018-09-01 11:19:24,,,,23843091704830316,,,
黃彥齊,2018-09-01 11:19:24,,,,23843091704840316,,,
黃彥齊,2018-09-01 11:19:24,,,,23843091704820316,,,
黃彥齊,2018-09-01 11:19:24,,,,23843091704870316,,,
黃彥齊,2018-09-01 11:19:24,,,,23843091704770316,,,
黃彥齊,2018-09-01 11:19:24,,,,23843091704810316,,,
黃彥齊,2018-09-01 11:19:24,,,,23843091704790316,,,
黃彥齊,2018-09-01 11:19:24,,,,23843091704620316,,,
黃彥齊,2018-09-01 11:19:24,,,,23843091704760316,,,
黃彥齊,2018-09-01 11:19:24,,,,23843091704780316,,,
黃彥齊,2018-09-01 10:40:18,8,,,23843091650060316,,,
黃彥齊,2018-09-01 10:40:18,8,,,23843091649980316,,,
黃彥齊,2018-09-01 10:40:18,8,,,23843091650010316,,,
黃彥齊,2018-09-01 10:40:18,8,,,23843091649990316,,,
黃彥齊,2018-09-01 10:40:18,8,,,23843091650040316,,,
黃彥齊,2018-09-01 09:28:24,,6500,,23843089158740316,,5000,
黃彥齊,2018-09-01 09:28:24,6,,,23843089158740316,4,,
黃彥齊,2018-09-01 03:54:24,6,,,23843091456600316,,,
黃彥齊,2018-09-01 03:54:24,6,,,23843091456570316,,,
黃彥齊,2018-09-01 03:22:04,,5000,,23843089158710316,,416,
黃彥齊,2018-09-01 03:22:04,,5000,,23843089158740316,,416,
黃彥齊,2018-09-01 03:22:04,,5000,,23843089158730316,,416,
黃彥齊,2018-09-01 03:22:04,,5000,,23843089158700316,,416,
黃彥齊,2018-09-01 03:22:04,,5000,,23843089158720316,,416,
黃彥齊,2018-09-01 03:21:34,,5000,,23843089158640316,,416,
Facebook,2018-08-31 16:00:16,,,Active,23843049037430316,,,Inactive
Facebook,2018-08-31 11:30:09,,,Inactive,23843049037430316,,,Active
黃彥齊,2018-08-31 10:15:24,4,,,23843090585740316,,,
黃彥齊,2018-08-31 09:39:49,6,,,23843090536540316,,,
高曼容,2018-08-31 08:57:42,,,Active,23843089158620316,,,Inactive
黃彥齊,2018-08-31 08:24:12,,8000,,23843049037890316,,5000,
黃彥齊,2018-08-31 08:24:12,,8000,,23843049056300316,,5000,
黃彥齊,2018-08-31 08:24:12,,8000,,23843049049190316,,5000,
黃彥齊,2018-08-31 08:24:12,,10000,,23843049037450316,,5000,
高曼容,2018-08-31 06:28:10,,416,,23843089158740316,,3000,
高曼容,2018-08-31 06:28:10,,416,,23843089158720316,,287,
高曼容,2018-08-31 06:28:10,,416,,23843089158730316,,3000,
高曼容,2018-08-31 06:28:10,,416,,23843089158700316,,3000,
高曼容,2018-08-31 06:28:10,,416,,23843089158710316,,3000,
高曼容,2018-08-31 06:28:10,,416,,23843089158640316,,1000,
高曼容,2018-08-31 04:42:10,4,,,23843089158730316,,,
高曼容,2018-08-31 04:42:10,4,,,23843089158710316,,,
高曼容,2018-08-31 04:42:10,4,,,23843089158720316,,,
高曼容,2018-08-31 04:42:10,4,,,23843089158700316,,,
高曼容,2018-08-31 04:42:10,4,,,23843089158640316,,,
高曼容,2018-08-31 04:42:10,4,,,23843089158740316,,,
黃彥齊,2018-08-31 01:52:58,,5000,,23843049037890316,,3000,
黃彥齊,2018-08-31 01:52:58,,5000,,23843049056300316,,3000,
黃彥齊,2018-08-31 01:52:58,,5000,,23843053774790316,,1000,
黃彥齊,2018-08-31 01:52:58,,5000,,23843049049190316,,3000,
黃彥齊,2018-08-31 01:52:58,,5000,,23843049037450316,,3000,
Facebook,2018-08-30 16:00:11,,,Active,23843049037430316,,,Inactive
Ant Man,2018-08-30 12:21:05,,,Inactive,23843049037430316,,,Active
Unknown Actor,2018-08-29 16:00:15,,,Active,23843049037430316,,,Inactive
Ant Man,2018-08-29 02:56:07,,,Inactive,23843049037430316,,,Active
Unknown Actor,2018-08-28 16:00:19,,,Active,23843049037430316,,,Inactive
Ant Man,2018-08-28 06:52:06,,,Inactive,23843049037430316,,,Active
Unknown Actor,2018-08-27 16:00:10,,,Active,23843049037430316,,,Inactive
Ant Man,2018-08-27 03:03:06,,,Inactive,23843049037430316,,,Active
Unknown Actor,2018-08-26 16:00:14,,,Active,23843049037430316,,,Inactive
Ant Man,2018-08-26 03:17:10,,,Inactive,23843049037430316,,,Active
Unknown Actor,2018-08-25 16:00:19,,,Active,23843049037430316,,,Inactive
Ant Man,2018-08-25 03:48:11,,,Inactive,23843049037430316,,,Active
Unknown Actor,2018-08-24 16:00:21,,,Active,23843049037430316,,,Inactive
Ant Man,2018-08-24 03:35:07,,,Inactive,23843049037430316,,,Active
Unknown Actor,2018-08-23 16:00:25,,,Active,23843049037430316,,,Inactive
Ant Man,2018-08-23 07:00:08,,,Inactive,23843049037430316,,,Active
Unknown Actor,2018-08-22 16:00:16,,,Active,23843049037430316,,,Inactive
Ant Man,2018-08-22 10:46:06,,,Inactive,23843049037430316,,,Active
Unknown Actor,2018-08-21 16:00:49,,,Active,23843049037430316,,,Inactive
Ant Man,2018-08-21 09:58:04,,,Inactive,23843049037430316,,,Active
Unknown Actor,2018-08-20 16:00:14,,,Active,23843049037430316,,,Inactive
